shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
R1_D0,11.016800,76.975800,1,0.0
R1_D0,11.014000,76.972000,2,518.6
R1_D0,11.011000,76.968500,3,1025.8
R1_D0,11.007500,76.964000,4,1652.4
R1_D0,11.004000,76.960000,5,2237.3
R1_D0,11.001000,76.956000,6,2786.8
R1_D0,10.998000,76.953000,7,3254.2
R1_D1,10.998000,76.953000,1,0.0
R1_D1,11.001000,76.956000,2,467.4
R1_D1,11.004000,76.960000,3,1016.9
R1_D1,11.007500,76.964000,4,1601.8
R1_D1,11.011000,76.968500,5,2228.4
R1_D1,11.014000,76.972000,6,2735.6
R1_D1,11.016800,76.975800,7,3254.2
R2_D0,11.002000,77.022000,1,0.0
R2_D0,11.005000,77.010000,2,1351.6
R2_D0,11.008000,76.998000,3,2703.2
R2_D0,11.012000,76.989000,4,3781.6
R2_D0,11.015000,76.982000,5,4615.2
R2_D0,11.020000,76.976000,6,5474.3
R2_D1,11.020000,76.976000,1,0.0
R2_D1,11.015000,76.982000,2,859.1
R2_D1,11.012000,76.989000,3,1692.7
R2_D1,11.008000,76.998000,4,2771.1
R2_D1,11.005000,77.010000,5,4122.7
R2_D1,11.002000,77.022000,6,5474.3
R3_D0,10.987000,76.976000,1,0.0
R3_D0,10.992000,76.973000,2,645.2
R3_D0,10.997000,76.970000,3,1290.5
R3_D0,11.001000,76.967000,4,1842.8
R3_D0,11.014000,76.962000,5,3387.9
R3_D0,11.027000,76.958000,6,4898.0
R3_D1,11.027000,76.958000,1,0.0
R3_D1,11.014000,76.962000,2,1510.0
R3_D1,11.001000,76.967000,3,3055.2
R3_D1,10.997000,76.970000,4,3607.5
R3_D1,10.992000,76.973000,5,4252.7
R3_D1,10.987000,76.976000,6,4898.0
R4_D0,11.023000,76.970000,1,0.0
R4_D0,11.020000,76.966000,2,549.4
R4_D0,11.017000,76.963000,3,1016.9
R4_D0,11.013000,76.958000,4,1720.9
R4_D0,11.008000,76.950000,5,2756.1
R4_D0,11.002000,76.942000,6,3855.0
R4_D1,11.002000,76.942000,1,0.0
R4_D1,11.008000,76.950000,2,1098.9
R4_D1,11.013000,76.958000,3,2134.1
R4_D1,11.017000,76.963000,4,2838.1
R4_D1,11.020000,76.966000,5,3305.5
R4_D1,11.023000,76.970000,6,3855.0
R5_D0,11.002400,76.965900,1,0.0
R5_D0,10.999000,76.962000,2,569.3
R5_D0,10.996000,76.958000,3,1118.8
R5_D0,10.992000,76.954000,4,1742.1
R5_D0,10.987000,76.949000,5,2521.2
R5_D0,10.982000,76.944000,6,3300.3
R5_D1,10.982000,76.944000,1,0.0
R5_D1,10.987000,76.949000,2,779.1
R5_D1,10.992000,76.954000,3,1558.2
R5_D1,10.996000,76.958000,4,2181.5
R5_D1,10.999000,76.962000,5,2730.9
R5_D1,11.002400,76.965900,6,3300.3
R6_D0,11.048000,77.020000,1,0.0
R6_D0,11.042000,77.008000,2,1469.8
R6_D0,11.036000,76.996000,3,2939.6
R6_D0,11.029000,76.985000,4,4370.4
R6_D0,11.020000,76.975000,5,5851.1
R6_D0,11.010000,76.966000,6,7334.9
R6_D1,11.010000,76.966000,1,0.0
R6_D1,11.020000,76.975000,2,1483.7
R6_D1,11.029000,76.985000,3,2964.5
R6_D1,11.036000,76.996000,4,4395.3
R6_D1,11.042000,77.008000,5,5865.1
R6_D1,11.048000,77.020000,6,7334.9
R7_D0,11.029000,77.122000,1,0.0
R7_D0,11.026000,77.098000,2,2640.6
R7_D0,11.024000,77.075000,3,5160.7
R7_D0,11.021000,77.050000,4,7909.6
R7_D0,11.019000,77.028000,5,10321.0
R7_D0,11.016000,77.010000,6,12313.8
R7_D0,11.016800,76.975800,7,16047.6
R7_D1,11.016800,76.975800,1,0.0
R7_D1,11.016000,77.010000,2,3733.9
R7_D1,11.019000,77.028000,3,5726.6
R7_D1,11.021000,77.050000,4,8138.1
R7_D1,11.024000,77.075000,5,10887.0
R7_D1,11.026000,77.098000,6,13407.1
R7_D1,11.029000,77.122000,7,16047.6
R8_D0,11.060000,76.985000,1,0.0
R8_D0,11.052000,76.980000,2,1043.6
R8_D0,11.044000,76.975000,3,2087.2
R8_D0,11.036000,76.972000,4,3035.1
R8_D0,11.028000,76.969000,5,3983.0
R8_D0,11.016800,76.975800,6,5432.7
R8_D1,11.016800,76.975800,1,0.0
R8_D1,11.028000,76.969000,2,1449.8
R8_D1,11.036000,76.972000,3,2397.7
R8_D1,11.044000,76.975000,4,3345.6
R8_D1,11.052000,76.980000,5,4389.2
R8_D1,11.060000,76.985000,6,5432.7
R9_D0,11.032000,76.948000,1,0.0
R9_D0,11.041000,76.962000,2,1826.5
R9_D0,11.036000,76.970000,3,2861.6
R9_D0,11.028000,76.964000,4,3966.2
R9_D0,11.021000,76.961000,5,4810.6
R9_D0,11.028000,77.044000,6,13902.9
R9_D1,11.028000,77.044000,1,0.0
R9_D1,11.021000,76.961000,2,9092.2
R9_D1,11.028000,76.964000,3,9936.7
R9_D1,11.036000,76.970000,4,11041.3
R9_D1,11.041000,76.962000,5,12076.4
R9_D1,11.032000,76.948000,6,13902.9
R10_D0,10.998000,76.953000,1,0.0
R10_D0,10.991000,76.964000,2,1430.9
R10_D0,10.983000,76.974000,3,2839.1
R10_D0,10.976000,76.964000,4,4179.7
R10_D0,10.970000,76.954000,5,5459.1
R10_D0,10.985000,76.942000,6,7579.9
R10_D1,10.985000,76.942000,1,0.0
R10_D1,10.970000,76.954000,2,2120.8
R10_D1,10.976000,76.964000,3,3400.2
R10_D1,10.983000,76.974000,4,4740.9
R10_D1,10.991000,76.964000,5,6149.0
R10_D1,10.998000,76.953000,6,7579.9
