trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
R1_D0_001,05:30:00,05:30:00,CBE001,1,0.0
R1_D0_001,05:31:38,05:32:13,CBE002,2,518.6
R1_D0_001,05:33:49,05:34:24,CBE003,3,1025.8
R1_D0_001,05:36:23,05:36:58,CBE004,4,1652.4
R1_D0_001,05:38:49,05:39:24,CBE005,5,2237.3
R1_D0_001,05:41:08,05:41:43,CBE006,6,2786.8
R1_D0_001,05:43:12,05:43:12,CBE007,7,3254.2
R1_D1_001,05:37:30,05:37:30,CBE007,1,0.0
R1_D1_001,05:38:59,05:39:34,CBE006,2,467.4
R1_D1_001,05:41:18,05:41:53,CBE005,3,1016.9
R1_D1_001,05:43:44,05:44:19,CBE004,4,1601.8
R1_D1_001,05:46:18,05:46:53,CBE003,5,2228.4
R1_D1_001,05:48:29,05:49:04,CBE002,6,2735.6
R1_D1_001,05:50:42,05:50:42,CBE001,7,3254.2
R1_D0_002,05:45:00,05:45:00,CBE001,1,0.0
R1_D0_002,05:46:38,05:47:13,CBE002,2,518.6
R1_D0_002,05:48:49,05:49:24,CBE003,3,1025.8
R1_D0_002,05:51:23,05:51:58,CBE004,4,1652.4
R1_D0_002,05:53:49,05:54:24,CBE005,5,2237.3
R1_D0_002,05:56:08,05:56:43,CBE006,6,2786.8
R1_D0_002,05:58:12,05:58:12,CBE007,7,3254.2
R1_D1_002,05:52:30,05:52:30,CBE007,1,0.0
R1_D1_002,05:53:59,05:54:34,CBE006,2,467.4
R1_D1_002,05:56:18,05:56:53,CBE005,3,1016.9
R1_D1_002,05:58:44,05:59:19,CBE004,4,1601.8
R1_D1_002,06:01:18,06:01:53,CBE003,5,2228.4
R1_D1_002,06:03:29,06:04:04,CBE002,6,2735.6
R1_D1_002,06:05:42,06:05:42,CBE001,7,3254.2
R1_D0_003,06:00:00,06:00:00,CBE001,1,0.0
R1_D0_003,06:01:38,06:02:13,CBE002,2,518.6
R1_D0_003,06:03:49,06:04:24,CBE003,3,1025.8
R1_D0_003,06:06:23,06:06:58,CBE004,4,1652.4
R1_D0_003,06:08:49,06:09:24,CBE005,5,2237.3
R1_D0_003,06:11:08,06:11:43,CBE006,6,2786.8
R1_D0_003,06:13:12,06:13:12,CBE007,7,3254.2
R1_D1_003,06:07:30,06:07:30,CBE007,1,0.0
R1_D1_003,06:08:59,06:09:34,CBE006,2,467.4
R1_D1_003,06:11:18,06:11:53,CBE005,3,1016.9
R1_D1_003,06:13:44,06:14:19,CBE004,4,1601.8
