stop_id,stop_name,stop_lat,stop_lon,location_type
CBE001,Gandhipuram Bus Stand,11.016800,76.975800,0
CBE002,Town Hall,11.014000,76.972000,0
CBE003,Katcheri Road,11.011000,76.968500,0
CBE004,R.S. Puram,11.007500,76.964000,0
CBE005,Peelamedu Road,11.004000,76.960000,0
CBE006,Kavundampalayam,11.001000,76.956000,0
CBE007,Ukkadam Bus Terminus,10.998000,76.953000,0
CBE008,Singanallur,11.002000,77.022000,0
CBE009,Airport Road,11.005000,77.010000,0
CBE010,Avinashi Road Junction,11.008000,76.998000,0
CBE011,PSG College,11.012000,76.989000,0
CBE012,Hopes College,11.015000,76.982000,0
CBE013,Peelamedu,11.020000,76.976000,0
CBE014,Podanur Junction,10.987000,76.976000,0
CBE015,Nehru Nagar,10.992000,76.973000,0
CBE016,Collectorate,10.997000,76.970000,0
CBE017,Town Bus Stand,11.001000,76.967000,0
CBE018,Ganapathy,11.014000,76.962000,0
CBE019,Bharathiyar University,11.027000,76.958000,0
CBE020,Saibaba Colony,11.023000,76.970000,0
CBE021,Race Course,11.020000,76.966000,0
CBE022,Raj Bhavan,11.017000,76.963000,0
CBE023,Puliakulam,11.013000,76.958000,0
CBE024,Vilankurichi,11.008000,76.950000,0
CBE025,Vadavalli,11.002000,76.942000,0
CBE026,Coimbatore Junction,11.002400,76.965900,0
CBE027,Tatabad,10.999000,76.962000,0
CBE028,Gandhipuram West,10.996000,76.958000,0
CBE029,DB Road,10.992000,76.954000,0
CBE030,Kovaipudur,10.987000,76.949000,0
CBE031,Kuniyamuthur,10.982000,76.944000,0
CBE032,Kalapatti,11.048000,77.020000,0
CBE033,TNAU Gate,11.042000,77.008000,0
CBE034,Codissia Trade Fair,11.036000,76.996000,0
CBE035,Neel Kamal,11.029000,76.985000,0
CBE036,Lakshmi Mills,11.020000,76.975000,0
CBE037,R.S. Puram West,11.010000,76.966000,0
CBE038,Sulur Bus Stop,11.029000,77.122000,0
CBE039,Sulur Town,11.026000,77.098000,0
CBE040,Chinniyampalayam,11.024000,77.075000,0
CBE041,Kannampalayam,11.021000,77.050000,0
CBE042,Nava India,11.019000,77.028000,0
CBE043,Singanallur Junction,11.016000,77.010000,0
CBE044,Mettupalayam Road,11.060000,76.985000,0
CBE045,Selvapuram,11.052000,76.980000,0
CBE046,Seeranaickenpalayam,11.044000,76.975000,0
CBE047,Velandipalayam,11.036000,76.972000,0
CBE048,Cheran Ma Nagar,11.028000,76.969000,0
CBE049,Koundampalayam,11.032000,76.948000,0
CBE050,Saravanampatti,11.041000,76.962000,0
CBE051,ITI Layout,11.036000,76.970000,0
CBE052,Thudiyalur,11.028000,76.964000,0
CBE053,VGP Layout,11.021000,76.961000,0
CBE054,Peelamedu Airport,11.028000,77.044000,0
CBE055,Eachanari,10.991000,76.964000,0
CBE056,Madukkarai,10.983000,76.974000,0
CBE057,Thondamuthur,10.976000,76.964000,0
CBE058,Siruvani Road,10.970000,76.954000,0
CBE059,Perur,10.985000,76.942000,0
