route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
R1,DAILY,R1_D0_001,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_001,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_002,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_002,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_003,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_003,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_004,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_004,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_005,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_005,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_006,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_006,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_007,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_007,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_008,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_008,Gandhipuram Bus Stand,1,R1_B05,R1_D1
R1,DAILY,R1_D0_009,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_009,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_010,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_010,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_011,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_011,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_012,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R1,DAILY,R1_D1_012,Gandhipuram Bus Stand,1,R1_B06,R1_D1
R1,DAILY,R1_D0_013,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_013,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_014,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_014,Gandhipuram Bus Stand,1,R1_B05,R1_D1
R1,DAILY,R1_D0_015,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_015,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_016,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_016,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_017,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_017,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_018,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R1,DAILY,R1_D1_018,Gandhipuram Bus Stand,1,R1_B06,R1_D1
R1,DAILY,R1_D0_019,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_019,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_020,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_020,Gandhipuram Bus Stand,1,R1_B05,R1_D1
R1,DAILY,R1_D0_021,Ukkadam Bus Terminus,0,R1_B03,R1_D0
R1,DAILY,R1_D1_021,Gandhipuram Bus Stand,1,R1_B01,R1_D1
R1,DAILY,R1_D0_022,Ukkadam Bus Terminus,0,R1_B06,R1_D0
R1,DAILY,R1_D1_022,Gandhipuram Bus Stand,1,R1_B04,R1_D1
R1,DAILY,R1_D0_023,Ukkadam Bus Terminus,0,R1_B02,R1_D0
R1,DAILY,R1_D1_023,Gandhipuram Bus Stand,1,R1_B03,R1_D1
R1,DAILY,R1_D0_024,Ukkadam Bus Terminus,0,R1_B05,R1_D0
R1,DAILY,R1_D1_024,Gandhipuram Bus Stand,1,R1_B06,R1_D1
R1,DAILY,R1_D0_025,Ukkadam Bus Terminus,0,R1_B01,R1_D0
R1,DAILY,R1_D1_025,Gandhipuram Bus Stand,1,R1_B02,R1_D1
R1,DAILY,R1_D0_026,Ukkadam Bus Terminus,0,R1_B04,R1_D0
R1,DAILY,R1_D1_026,Gandhipuram Bus Stand,1,R1_B05,R1_D1
